tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance
ASAP7,INVX4,INVx4_ASAP7_6t_L,A,Y,rise,5.0,0.09215999999999999,0.7,25.0,117.244,1.0,0.216,0.216,1,1,1,1.791759469228055,0.08815738673620517,4.62962962962963,4.62962962962963,0.42666666666666664,0.42666666666666664,0.42666666666666664,4.62962962962963,1.4285714285714286,0.04,0.0
ASAP7,BUFX8,BUFx8_ASAP7_6t_L,A,Y,rise,10.0,0.023039999999999998,0.7,25.0,30.1155,1.0,0.54,0.54,0,1,1,2.3978952727983707,0.02277858688933957,1.8518518518518516,1.8518518518518516,0.04266666666666666,0.04266666666666666,0.04266666666666666,1.8518518518518516,1.4285714285714286,0.04,0.0
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,A,Y,fall,10.0,0.09215999999999999,0.7,25.0,203.882,1.0,0.27,0.27,0,1,1,2.3978952727983707,0.08815738673620517,3.7037037037037033,3.7037037037037033,0.34133333333333327,0.34133333333333327,0.34133333333333327,3.7037037037037033,1.4285714285714286,0.04,0.0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,A,Y,fall,10.0,0.0014399999999999999,0.7,25.0,18.2765,1.0,0.216,0.216,0,1,1,2.3978952727983707,0.0014389641942542824,4.62962962962963,4.62962962962963,0.006666666666666666,0.006666666666666666,0.006666666666666666,4.62962962962963,1.4285714285714286,0.04,0.0
ASAP7,AND4X2,AND4x2_ASAP7_6t_L,C,Y,rise,160.0,0.0028799999999999997,0.7,25.0,50.1565,1.0,0.324,0.324,0,1,1,5.081404364984463,0.002875860745464264,3.0864197530864197,3.0864197530864197,0.008888888888888887,0.008888888888888887,0.008888888888888887,3.0864197530864197,1.4285714285714286,0.04,0.0
ASAP7,AND2X2,AND2x2_ASAP7_6t_L,B,Y,fall,160.0,0.0014399999999999999,0.7,25.0,51.3826,0.75,0.162,0.216,0,1,1,5.081404364984463,0.0014389641942542824,6.172839506172839,4.62962962962963,0.008888888888888887,0.006666666666666666,0.006666666666666666,4.62962962962963,1.4285714285714286,0.04,-0.14285714285714285
ASAP7,NAND2X1,NAND2x1_ASAP7_6t_L,A,Y,rise,5.0,0.023039999999999998,0.7,25.0,120.392,0.5,0.108,0.216,0,1,1,1.791759469228055,0.02277858688933957,9.25925925925926,4.62962962962963,0.21333333333333332,0.10666666666666666,0.21333333333333332,9.25925925925926,1.4285714285714286,0.04,-0.3333333333333333
ASAP7,INVX1,INVx1_ASAP7_6t_L,A,Y,rise,10.0,0.011519999999999999,0.7,25.0,61.7308,1.0,0.054,0.054,1,1,1,2.3978952727983707,0.011454150045115854,18.51851851851852,18.51851851851852,0.21333333333333332,0.21333333333333332,0.21333333333333332,18.51851851851852,1.4285714285714286,0.04,0.0
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,B,Y,fall,160.0,0.0057599999999999995,0.7,25.0,60.3876,0.7,0.37799999999999995,0.54,0,1,1,5.081404364984463,0.005743474627065725,2.645502645502646,1.8518518518518516,0.01523809523809524,0.010666666666666665,0.010666666666666665,1.8518518518518516,1.4285714285714286,0.04,-0.17647058823529424
ASAP7,NAND3X2,NAND3x2_ASAP7_6t_L,A,Y,fall,20.0,0.0014399999999999999,0.7,25.0,9.51466,0.33333333333333326,0.324,0.9720000000000002,0,1,1,3.044522437723423,0.0014389641942542824,3.0864197530864197,1.0288065843621397,0.004444444444444444,0.001481481481481481,0.001481481481481481,1.0288065843621397,1.4285714285714286,0.04,-0.5
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,A,Y,rise,80.0,0.0007199999999999999,0.7,25.0,36.8099,1.0,0.27,0.27,0,1,1,4.394449154672438,0.0007197409243488539,3.7037037037037033,3.7037037037037033,0.002666666666666666,0.002666666666666666,0.002666666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0
ASAP7,NAND2X1,NAND2x1_ASAP7_6t_L,A,Y,fall,5.0,0.023039999999999998,0.7,25.0,84.5107,0.5,0.108,0.216,0,1,1,1.791759469228055,0.02277858688933957,9.25925925925926,4.62962962962963,0.21333333333333332,0.10666666666666666,0.10666666666666666,4.62962962962963,1.4285714285714286,0.04,-0.3333333333333333
ASAP7,NOR2X2,NOR2x2_ASAP7_6t_L,A,Y,fall,10.0,0.0028799999999999997,0.7,25.0,13.1345,1.9999999999999998,0.43199999999999994,0.216,0,1,1,2.3978952727983707,0.002875860745464264,2.3148148148148153,4.62962962962963,0.006666666666666668,0.013333333333333332,0.013333333333333332,4.62962962962963,1.4285714285714286,0.04,0.3333333333333333
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,B,Y,fall,20.0,0.0028799999999999997,0.7,25.0,23.7437,1.0,0.27,0.27,0,1,1,3.044522437723423,0.002875860745464264,3.7037037037037033,3.7037037037037033,0.010666666666666665,0.010666666666666665,0.010666666666666665,3.7037037037037033,1.4285714285714286,0.04,0.0
ASAP7,AND2X2,AND2x2_ASAP7_6t_L,B,Y,fall,10.0,0.011519999999999999,0.7,25.0,44.5535,0.75,0.162,0.216,0,1,1,2.3978952727983707,0.011454150045115854,6.172839506172839,4.62962962962963,0.0711111111111111,0.05333333333333333,0.05333333333333333,4.62962962962963,1.4285714285714286,0.04,-0.14285714285714285
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,A,Y,rise,40.0,0.046079999999999996,0.7,25.0,257.298,1.0,0.27,0.27,0,1,1,3.7135720667043075,0.04504984455370874,3.7037037037037033,3.7037037037037033,0.17066666666666663,0.17066666666666663,0.17066666666666663,3.7037037037037033,1.4285714285714286,0.04,0.0
